id,routing_id/id,name,workcenter_id/id
mrp_routing_workcenter_79,mrp_routing_col,Faconnage : Encollage manuel 1 bande,mrp_workcenter_8
mrp_routing_workcenter_80,mrp_routing_col,Faconnage : Pliure,mrp_workcenter_9
mrp_routing_workcenter_81,mrp_routing_livre,Numérique : MO,mrp_workcenter_13
mrp_routing_workcenter_82,mrp_routing_livre,Numérique : Sorties n:0 SRA3 <135g,mrp_workcenter_21
mrp_routing_workcenter_83,mrp_routing_livre,Numérique : Sorties n:0 SRA3 <176g,mrp_workcenter_22
mrp_routing_workcenter_84,mrp_routing_livre,Numérique : Sorties n:0 SRA3 <300g,mrp_workcenter_23
mrp_routing_workcenter_85,mrp_routing_livre,Numérique : Coupe,mrp_workcenter_10
mrp_routing_workcenter_86,mrp_routing_livre,Numérique : Reliure dos carré collé,mrp_workcenter_17
mrp_routing_workcenter_87,mrp_routing_jet,Editique : Data : Préparation simple,mrp_workcenter_2
mrp_routing_workcenter_88,mrp_routing_doc,Numérique : Sorties n:0 SRA3 <300g,mrp_workcenter_23
mrp_routing_workcenter_89,mrp_routing_doc,Routage : Adressage hors ligne,mrp_workcenter_33
mrp_routing_workcenter_90,mrp_routing_doc,Numérique : Perforation,mrp_workcenter_14
mrp_routing_workcenter_91,mrp_routing_doc,Numérique : Rainage,mrp_workcenter_16
mrp_routing_workcenter_92,mrp_routing_doc,Routage : Pliage A4,mrp_workcenter_54
mrp_routing_workcenter_93,mrp_routing_doc,Routage : Pliage A4 lourd,mrp_workcenter_55
mrp_routing_workcenter_94,mrp_routing_doc,Routage : Pliage SRA3,mrp_workcenter_56
mrp_routing_workcenter_95,mrp_routing_doc,Routage : Pliage SRA3 lourd,mrp_workcenter_57
mrp_routing_workcenter_102,mrp_routing_doc,Numérique : Coupe,mrp_workcenter_10
mrp_routing_workcenter_96,mrp_routing_livret,Editique : Data : Préparation simple,mrp_workcenter_2
mrp_routing_workcenter_97,mrp_routing_livret,Numérique : Fusion paramétrée,mrp_workcenter_11
mrp_routing_workcenter_98,mrp_routing_livret,Numérique : Sorties n:0 A4 <135g,mrp_workcenter_18
mrp_routing_workcenter_99,mrp_routing_livret,Numérique : Sorties n:0 A4 <176g,mrp_workcenter_19
mrp_routing_workcenter_100,mrp_routing_livret,Numérique : Coupe,mrp_workcenter_10
mrp_routing_workcenter_101,mrp_routing_livret,Numérique : Piquage,mrp_workcenter_15
